"vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,-1,-1,1
32,-1,-1,-1
33,-1,-1,-0.77778
34,-1,-1,-0.55556
35,-1,-1,-0.33333
36,-1,-1,-0.11111
37,-1,-1,0.11111
38,-1,-1,0.33333
39,-1,-1,0.55556
40,-1,-1,0.77778
136,1,-1,1
137,1,-1,-1
168,1,-1,0.77778
169,1,-1,0.55556
170,1,-1,0.33333
171,1,-1,0.11111
172,1,-1,-0.11111
173,1,-1,-0.33333
174,1,-1,-0.55556
175,1,-1,-0.77778
176,-0.77778,-1,-1
177,-0.55556,-1,-1
178,-0.33333,-1,-1
179,-0.11111,-1,-1
180,0.11111,-1,-1
181,0.33333,-1,-1
182,0.55556,-1,-1
183,0.77778,-1,-1
184,0.77778,-1,1
185,0.55556,-1,1
186,0.33333,-1,1
187,0.11111,-1,1
188,-0.11111,-1,1
189,-0.33333,-1,1
190,-0.55556,-1,1
191,-0.77778,-1,1
733,-0.72802,-1,-0.73394
734,-0.76328,-1,-0.45729
735,-0.76609,-1,-0.216
736,-0.76321,-1,0.019543
737,-0.76079,-1,0.25646
738,-0.75626,-1,0.50085
739,-0.75679,-1,0.75146
740,0.74454,-1,-0.75158
741,0.817,-1,0.64048
742,0.78771,-1,0.4425
743,0.78328,-1,0.2258
744,0.79485,-1,0.0012968
745,0.76936,-1,-0.23354
746,0.69252,-1,-0.4915
747,-0.22467,-1,-0.8028
748,0.23737,-1,-0.75948
749,0.69873,-1,0.80906
750,0.23366,-1,0.78086
751,-0.23544,-1,0.76823
752,-0.50418,-1,0.71323
753,-0.46149,-1,-0.79411
754,0.00086351,-1,0.775
755,0.48648,-1,-0.74781
756,0.0019383,-1,-0.77853
757,0.4647,-1,0.79078
758,-0.53605,-1,-0.56048
759,0.36899,-1,-0.51225
760,-0.53927,-1,-0.32383
761,-0.5341,-1,-0.086118
762,-0.52569,-1,0.16027
763,-0.52982,-1,0.41232
764,0.10407,-1,-0.53322
765,-0.33378,-1,0.54922
766,0.12723,-1,0.55891
767,0.53836,-1,0.35503
768,0.58391,-1,0.10809
769,0.60475,-1,-0.096309
770,0.49764,-1,-0.28807
771,-0.11206,-1,0.54661
772,-0.13329,-1,-0.5827
773,0.37035,-1,0.56853
774,0.60556,-1,0.59622
775,-0.33627,-1,-0.63295
776,-0.27098,-1,0.30989
777,-0.32134,-1,-0.43088
778,-0.30691,-1,-0.20372
779,-0.30469,-1,0.037092
780,0.25812,-1,0.34994
781,0.012039,-1,0.33401
782,0.38818,-1,-0.054082
783,0.37976,-1,0.1696
784,-0.082959,-1,-0.34549
785,0.19307,-1,-0.25052
786,-0.067736,-1,-0.096112
787,-0.095252,-1,0.13403
788,0.14991,-1,0.08117
